                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8063,                 1.9535,                 1.9104,                0.45131,                0.34899,                 0.3393,                0.14055,                  2.129,                 2.3448,                  2.101,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.8174,                 1.9815,                 1.8975,                0.43781,                0.33738,                0.32028,                0.12168,                 2.1563,                  2.266,                 2.1216,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.7999,                 1.9404,                 1.8968,                0.47823,                0.34916,                0.34643,                0.13192,                 2.1604,                 2.1898,                  2.103,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.7905,                 1.8945,                 1.8337,                0.44803,                0.34481,                0.33248,                0.12686,                 2.1384,                 2.3133,                 2.0952,              0.0013617,              0.0013617,              0.0013617
                     39,                  1.802,                 1.9588,                 1.8941,                0.42344,                0.31735,                0.31187,                0.11641,                 2.1894,                 2.4487,                 2.1355,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.8074,                 1.9325,                 1.8781,                0.42313,                0.31539,                0.32063,                0.13107,                 2.1391,                 2.3651,                 2.1128,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.7722,                 1.9017,                 1.8741,                0.49144,                0.34771,                0.34611,                0.14652,                 2.0188,                 2.2744,                  1.995,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.7769,                 1.8817,                 1.8574,                0.42159,                0.37682,                0.34502,                0.13355,                 2.0917,                 2.2909,                 2.0583,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.7982,                 1.8979,                 1.8474,                0.38712,                0.28939,                0.28965,                0.11878,                 2.1123,                 2.4172,                 2.0855,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.7839,                 1.8519,                 1.8434,                0.47337,                0.35984,                0.35866,                0.15312,                 2.0766,                 2.0995,                 2.0103,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.7621,                 1.8269,                 1.8209,                0.44561,                0.31252,                0.30275,                0.11845,                 2.2228,                 2.3562,                 2.1759,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.7666,                 1.8895,                 1.8614,                 0.4053,                0.35844,                0.32474,                0.13924,                 2.0839,                 2.3044,                 2.0428,              0.0012957,              0.0012957,              0.0012957
                     47,                  1.772,                 1.8631,                 1.8193,                0.50419,                0.33313,                0.35273,                0.15337,                  2.045,                 2.1502,                  1.968,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.7564,                 1.8538,                 1.8358,                0.42365,                0.36372,                0.33633,                 0.1293,                 2.1391,                 2.1882,                 2.0567,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.7386,                 1.7818,                  1.832,                0.41908,                0.34425,                0.33228,                0.13245,                 2.1674,                 2.2244,                 2.0979,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.7635,                 1.8209,                 1.8776,                0.45366,                0.36717,                 0.3444,                0.14408,                 2.0645,                 2.3299,                 2.0287,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.7524,                 1.8043,                 1.8283,                0.40659,                0.34165,                0.30492,                0.11795,                 2.1399,                 2.4132,                 2.1054,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.7324,                 1.8095,                 1.8294,                0.40325,                0.34802,                 0.3094,                0.12416,                 2.0666,                 2.2969,                 2.0375,              0.0012462,              0.0012462,              0.0012462
                     53,                  1.737,                  1.797,                 1.8027,                0.47651,                0.35615,                0.36743,                0.14001,                  2.147,                 2.1641,                 2.0719,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.7035,                 1.7674,                 1.8123,                0.46127,                0.37551,                0.35989,                0.14657,                 2.1136,                 2.1329,                 2.0681,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.7382,                 1.7921,                 1.8106,                0.39725,                 0.3444,                0.31832,                0.12531,                  2.133,                 2.2001,                 2.0852,              0.0012214,              0.0012214,              0.0012214
